a= 6000   E= 25475.4667
a= 6001   E= 25469.2886
a= 6002   E= 25453.0497
a= 6003   E= 25472.8651
a= 6004   E= 25458.2305
a= 6005   E= 25475.4413
a= 6006   E= 25439.7662
a= 6007   E= 25447.7192
a= 6008   E= 25433.1664
a= 6009   E= 25453.6996
a= 6010   E= 25462.5790
a= 6011   E= 25459.1451
a= 6012   E= 25435.5529
a= 6013   E= 25471.6396
a= 6014   E= 25453.1753
a= 6015   E= 25439.0399
a= 6016   E= 25429.1649
a= 6017   E= 25436.9767
a= 6018   E= 25413.1479
a= 6019   E= 25443.8214
a= 6020   E= 25428.9701
a= 6021   E= 25436.0473
a= 6022   E= 25443.4547
a= 6023   E= 25439.9019
a= 6024   E= 25426.3240
a= 6025   E= 25455.3734
a= 6026   E= 25403.5639
a= 6027   E= 25432.1435
a= 6028   E= 25403.2488
a= 6029   E= 25435.5351
a= 6030   E= 25439.2869
a= 6031   E= 25411.3349
a= 6032   E= 25422.7825
a= 6033   E= 25429.1213
a= 6034   E= 25405.6274
a= 6035   E= 25398.5791
a= 6036   E= 25400.0159
a= 6037   E= 25427.6245
a= 6038   E= 25413.9523
a= 6039   E= 25411.8101
a= 6040   E= 25417.4834
a= 6041   E= 25422.5593
a= 6042   E= 25427.0381
a= 6043   E= 25404.3106
a= 6044   E= 25412.0344
a= 6045   E= 25403.2796
a= 6046   E= 25401.6732
a= 6047   E= 25396.9587
a= 6048   E= 25401.9683
a= 6049   E= 25383.5016
a= 6050   E= 25400.0826
a= 6051   E= 25418.5095
a= 6052   E= 25398.3979
a= 6053   E= 25393.2941
a= 6054   E= 25391.9584
a= 6055   E= 25403.3732
a= 6056   E= 25396.8851
a= 6057   E= 25387.3616
a= 6058   E= 25368.2014
a= 6059   E= 25386.5458
a= 6060   E= 25385.3465
a= 6061   E= 25391.9355
a= 6062   E= 25396.6750
a= 6063   E= 25367.8326
a= 6064   E= 25384.7784
a= 6065   E= 25379.6249
a= 6066   E= 25378.1662
a= 6067   E= 25373.4777
a= 6068   E= 25384.6777
a= 6069   E= 25370.1040
a= 6070   E= 25366.9357
a= 6071   E= 25371.2141
a= 6072   E= 25390.7088
a= 6073   E= 25385.1686
a= 6074   E= 25377.8525
a= 6075   E= 25385.2222
a= 6076   E= 25353.7485
a= 6077   E= 25380.6038
a= 6078   E= 25362.8963
a= 6079   E= 25367.0408
a= 6080   E= 25360.7895
a= 6081   E= 25379.3391
a= 6082   E= 25329.4844
a= 6083   E= 25365.4593
a= 6084   E= 25363.0927
a= 6085   E= 25361.8447
a= 6086   E= 25328.7867
a= 6087   E= 25378.1451
a= 6088   E= 25344.2418
a= 6089   E= 25360.8016
a= 6090   E= 25357.4548
a= 6091   E= 25357.5901
a= 6092   E= 25368.4938
a= 6093   E= 25345.9788
a= 6094   E= 25332.9892
a= 6095   E= 25357.5431
a= 6096   E= 25354.7270
a= 6097   E= 25351.2562
a= 6098   E= 25318.9249
a= 6099   E= 25337.6949
a= 6100   E= 25343.8033
a= 6101   E= 25348.8610
a= 6102   E= 25325.2711
a= 6103   E= 25340.0310
a= 6104   E= 25320.4482
a= 6105   E= 25310.7002
a= 6106   E= 25332.0727
a= 6107   E= 25341.1248
a= 6108   E= 25330.1349
a= 6109   E= 25334.6670
a= 6110   E= 25328.4615
a= 6111   E= 25307.3345
a= 6112   E= 25327.7723
a= 6113   E= 25323.3386
a= 6114   E= 25348.1511
a= 6115   E= 25343.7817
a= 6116   E= 25319.4663
a= 6117   E= 25311.1802
a= 6118   E= 25311.4619
a= 6119   E= 25340.9644
a= 6120   E= 25328.9542
a= 6121   E= 25311.8512
a= 6122   E= 25309.3244
a= 6123   E= 25289.2257
a= 6124   E= 25301.2044
a= 6125   E= 25304.1020
a= 6126   E= 25289.7610
a= 6127   E= 25319.0353
a= 6128   E= 25319.0574
a= 6129   E= 25309.0294
a= 6130   E= 25305.9869
a= 6131   E= 25328.2598
a= 6132   E= 25302.7763
a= 6133   E= 25296.9328
a= 6134   E= 25284.3097
a= 6135   E= 25283.9487
a= 6136   E= 25288.4120
a= 6137   E= 25292.4831
a= 6138   E= 25286.9084
a= 6139   E= 25317.8891
a= 6140   E= 25280.7166
a= 6141   E= 25269.2853
a= 6142   E= 25295.9564
a= 6143   E= 25292.8616
a= 6144   E= 25293.6094
a= 6145   E= 25278.4093
a= 6146   E= 25291.0700
a= 6147   E= 25284.7908
a= 6148   E= 25295.2999
a= 6149   E= 25298.4552
a= 6150   E= 25286.5854
a= 6151   E= 25250.7887
a= 6152   E= 25281.7789
a= 6153   E= 25291.8266
a= 6154   E= 25281.9818
a= 6155   E= 25265.7067
a= 6156   E= 25253.0760
a= 6157   E= 25275.2719
a= 6158   E= 25254.7847
a= 6159   E= 25261.5816
a= 6160   E= 25262.2078
a= 6161   E= 25255.8872
a= 6162   E= 25256.7744
a= 6163   E= 25247.1473
a= 6164   E= 25262.4426
a= 6165   E= 25255.0243
a= 6166   E= 25254.4204
a= 6167   E= 25255.5682
a= 6168   E= 25268.1946
a= 6169   E= 25240.9403
a= 6170   E= 25257.9741
a= 6171   E= 25255.2975
a= 6172   E= 25230.1983
a= 6173   E= 25273.5994
a= 6174   E= 25247.3398
a= 6175   E= 25246.4818
a= 6176   E= 25262.4637
a= 6177   E= 25240.8174
a= 6178   E= 25242.0337
a= 6179   E= 25262.2821
a= 6180   E= 25260.6472
a= 6181   E= 25222.3202
a= 6182   E= 25232.5338
a= 6183   E= 25242.4210
a= 6184   E= 25244.0906
a= 6185   E= 25248.7348
a= 6186   E= 25258.3569
