87
III-1	III-2	III-3	III-4	A	III-5	B	III-6	III-7	III-8	III-9	III-10	III-11	III-12	III-13	III-14	III-15	III-16	C	III-17	III-18	III-19	III-20	III-21	III-22	III-23	III-24	D	I-1	I-2	I-3	I-4	E	I-5	I-6	I-7	I-8	I	I-13	I-14	I-15	I-16	M	I-21	I-22	I-23	I-24	O	N	L	II-1	II-2	II-3	II-4	H	II-12	II-11	II-10	II-9	II-20	II-19	II-18	II-17	F	G	J	K	II-5	II-6	II-7	II-8	I-12	I-11	I-10	I-9	II-13	II-14	II-15	II-16	I-20	I-19	I-18	I-17	II-21	II-22	II-23	II-24	
40.0	20.0	40.0	60.0	80.0	100.0	100.0	120.0	140.0	160.0	180.0	160.0	140.0	120.0	120.0	140.0	160.0	180.0	120.0	200.0	180.0	160.0	140.0	140.0	160.0	180.0	200.0	150.0	221.5	201.5	181.5	161.5	241.5	251.5	271.5	291.5	311.5	261.5	271.5	291.5	311.5	331.5	281.5	291.5	311.5	331.5	351.5	291.5	200.0	271.5	160.0	180.0	200.0	220.0	251.5	263.0	283.0	303.0	323.0	291.5	311.5	331.5	351.5	160.0	170.0	180.0	190.0	170.0	190.0	210.0	230.0	190.0	210.0	230.0	250.0	190.0	210.0	230.0	250.0	210.0	230.0	250.0	270.0	220.0	240.0	260.0	280.0	
20.0	40.0	20.0	40.0	60.0	80.0	80.0	100.0	120.0	140.0	160.0	140.0	120.0	100.0	100.0	120.0	140.0	160.0	100.0	180.0	160.0	140.0	120.0	120.0	140.0	160.0	180.0	130.0	201.5	181.5	161.5	141.5	221.5	231.5	251.5	271.5	291.5	241.5	251.5	271.5	291.5	311.5	261.5	271.5	291.5	311.5	331.5	271.5	180.0	251.5	140.0	160.0	180.0	200.0	231.5	243.0	263.0	283.0	303.0	271.5	291.5	311.5	331.5	140.0	150.0	160.0	170.0	150.0	170.0	190.0	210.0	170.0	190.0	210.0	230.0	170.0	190.0	210.0	230.0	190.0	210.0	230.0	250.0	200.0	220.0	240.0	260.0	
40.0	20.0	40.0	20.0	40.0	60.0	60.0	80.0	100.0	120.0	140.0	120.0	100.0	80.0	80.0	100.0	120.0	140.0	80.0	160.0	140.0	120.0	100.0	100.0	120.0	140.0	160.0	110.0	181.5	161.5	141.5	121.5	201.5	211.5	231.5	251.5	271.5	221.5	231.5	251.5	271.5	291.5	241.5	251.5	271.5	291.5	311.5	251.5	160.0	231.5	120.0	140.0	160.0	180.0	211.5	223.0	243.0	263.0	283.0	251.5	271.5	291.5	311.5	120.0	130.0	140.0	150.0	130.0	150.0	170.0	190.0	150.0	170.0	190.0	210.0	150.0	170.0	190.0	210.0	170.0	190.0	210.0	230.0	180.0	200.0	220.0	240.0	
60.0	40.0	20.0	40.0	20.0	40.0	40.0	60.0	80.0	100.0	120.0	100.0	80.0	60.0	60.0	80.0	100.0	120.0	60.0	140.0	120.0	100.0	80.0	80.0	100.0	120.0	140.0	90.0	161.5	141.5	121.5	101.5	181.5	191.5	211.5	231.5	251.5	201.5	211.5	231.5	251.5	271.5	221.5	231.5	251.5	271.5	291.5	231.5	140.0	211.5	100.0	120.0	140.0	160.0	191.5	203.0	223.0	243.0	263.0	231.5	251.5	271.5	291.5	100.0	110.0	120.0	130.0	110.0	130.0	150.0	170.0	130.0	150.0	170.0	190.0	130.0	150.0	170.0	190.0	150.0	170.0	190.0	210.0	160.0	180.0	200.0	220.0	
80.0	60.0	40.0	20.0	40.0	20.0	20.0	40.0	60.0	80.0	100.0	80.0	60.0	40.0	40.0	60.0	80.0	100.0	40.0	120.0	100.0	80.0	60.0	60.0	80.0	100.0	120.0	70.0	141.5	121.5	101.5	81.5	161.5	171.5	191.5	211.5	231.5	181.5	191.5	211.5	231.5	251.5	201.5	211.5	231.5	251.5	271.5	211.5	120.0	191.5	80.0	100.0	120.0	140.0	171.5	183.0	203.0	223.0	243.0	211.5	231.5	251.5	271.5	80.0	90.0	100.0	110.0	90.0	110.0	130.0	150.0	110.0	130.0	150.0	170.0	110.0	130.0	150.0	170.0	130.0	150.0	170.0	190.0	140.0	160.0	180.0	200.0	
100.0	80.0	60.0	40.0	20.0	40.0	40.0	20.0	40.0	60.0	120.0	100.0	80.0	60.0	60.0	80.0	100.0	120.0	60.0	140.0	120.0	100.0	80.0	80.0	100.0	120.0	140.0	90.0	161.5	141.5	121.5	101.5	181.5	191.5	211.5	231.5	251.5	201.5	211.5	231.5	251.5	271.5	221.5	231.5	251.5	271.5	291.5	231.5	140.0	211.5	100.0	120.0	140.0	160.0	191.5	203.0	223.0	243.0	263.0	231.5	251.5	271.5	291.5	100.0	110.0	120.0	130.0	110.0	130.0	150.0	170.0	130.0	150.0	170.0	190.0	130.0	150.0	170.0	190.0	150.0	170.0	190.0	210.0	160.0	180.0	200.0	220.0	
100.0	80.0	60.0	40.0	20.0	40.0	40.0	60.0	80.0	100.0	80.0	60.0	40.0	20.0	20.0	40.0	60.0	80.0	20.0	100.0	80.0	60.0	40.0	40.0	60.0	80.0	100.0	50.0	121.5	101.5	81.5	61.5	141.5	151.5	171.5	191.5	211.5	161.5	171.5	191.5	211.5	231.5	181.5	191.5	211.5	231.5	251.5	191.5	100.0	171.5	60.0	80.0	100.0	120.0	151.5	163.0	183.0	203.0	223.0	191.5	211.5	231.5	251.5	60.0	70.0	80.0	90.0	70.0	90.0	110.0	130.0	90.0	110.0	130.0	150.0	90.0	110.0	130.0	150.0	110.0	130.0	150.0	170.0	120.0	140.0	160.0	180.0	
120.0	100.0	80.0	60.0	40.0	20.0	60.0	40.0	20.0	40.0	140.0	120.0	100.0	80.0	80.0	100.0	120.0	140.0	80.0	160.0	140.0	120.0	100.0	100.0	120.0	140.0	160.0	110.0	181.5	161.5	141.5	121.5	201.5	211.5	231.5	251.5	271.5	221.5	231.5	251.5	271.5	291.5	241.5	251.5	271.5	291.5	311.5	251.5	160.0	231.5	120.0	140.0	160.0	180.0	211.5	223.0	243.0	263.0	283.0	251.5	271.5	291.5	311.5	120.0	130.0	140.0	150.0	130.0	150.0	170.0	190.0	150.0	170.0	190.0	210.0	150.0	170.0	190.0	210.0	170.0	190.0	210.0	230.0	180.0	200.0	220.0	240.0	
140.0	120.0	100.0	80.0	60.0	40.0	80.0	20.0	40.0	20.0	160.0	140.0	120.0	100.0	100.0	120.0	140.0	160.0	100.0	180.0	160.0	140.0	120.0	120.0	140.0	160.0	180.0	130.0	201.5	181.5	161.5	141.5	221.5	231.5	251.5	271.5	291.5	241.5	251.5	271.5	291.5	311.5	261.5	271.5	291.5	311.5	331.5	271.5	180.0	251.5	140.0	160.0	180.0	200.0	231.5	243.0	263.0	283.0	303.0	271.5	291.5	311.5	331.5	140.0	150.0	160.0	170.0	150.0	170.0	190.0	210.0	170.0	190.0	210.0	230.0	170.0	190.0	210.0	230.0	190.0	210.0	230.0	250.0	200.0	220.0	240.0	260.0	
160.0	140.0	120.0	100.0	80.0	60.0	100.0	40.0	20.0	40.0	180.0	160.0	140.0	120.0	120.0	140.0	160.0	180.0	120.0	200.0	180.0	160.0	140.0	140.0	160.0	180.0	200.0	150.0	221.5	201.5	181.5	161.5	241.5	251.5	271.5	291.5	311.5	261.5	271.5	291.5	311.5	331.5	281.5	291.5	311.5	331.5	351.5	291.5	200.0	271.5	160.0	180.0	200.0	220.0	251.5	263.0	283.0	303.0	323.0	291.5	311.5	331.5	351.5	160.0	170.0	180.0	190.0	170.0	190.0	210.0	230.0	190.0	210.0	230.0	250.0	190.0	210.0	230.0	250.0	210.0	230.0	250.0	270.0	220.0	240.0	260.0	280.0	
